SN,Btw,Trial,cSrc,cCue,cPE,IMidx,IMname,CueName,Resp,RT,Corr,Conf,cRT,aResp,aRT,aCorr,aConf,aCRT
10,1,210,2,1,1,15, man025.jpg, cue_1.jpg,1,1.4232,3,4,0.6271,4,0.5437,1,4,0.4807
10,1,211,1,4,2,29, man047.jpg, cue_4.jpg,1,1.0577,1,4,0.5298,2,0.5434,1,4,0.4868
10,1,212,2,3,4,183, man248.jpg, cue_3.jpg,2,1.5757,1,4,0.8212,3,1.632,1,3,0.5576
10,1,213,1,1,1,174, man237.jpg, cue_1.jpg,2,2.8919,2,3,0.9782,4,0.4793,1,4,0.4517
10,1,214,1,2,3,16, man027.jpg, cue_2.jpg,1,1.8594,1,4,1.6878,4,0.7994,0,3,0.303
10,1,215,1,4,2,10, man017.jpg, cue_4.jpg,1,1.0315,1,4,0.5706,2,1.5358,1,4,0.2906
10,1,216,1,2,3,40, man061.jpg, cue_2.jpg,1,2.188,1,4,0.8156,1,2.9755,1,3,2.1433
10,1,217,1,2,3,112, man154.jpg, cue_2.jpg,1,2.027,1,4,0.5948,1,0.4474,1,4,0.2955
10,1,218,3,0,0,152, man202.jpg, ,3,0.8656,1,4,0.3005,7,0,7,7,0
10,1,219,2,2,3,173, man236.jpg, cue_2.jpg,1,1.477,3,4,0.3109,1,1.8239,1,4,0.6521
10,1,220,1,1,1,237, man330.jpg, cue_1.jpg,1,1.7666,1,4,2.0747,4,1.7916,1,2,0.7454
10,1,221,2,4,2,35, man056.jpg, cue_4.jpg,1,2.0473,3,4,0.569,3,0.6715,0,2,1.5399
10,1,222,2,4,2,117, man159.jpg, cue_4.jpg,3,1.6408,0,4,0.3395,7,0,7,7,0
10,1,223,2,3,4,223, man309.jpg, cue_3.jpg,2,2.0268,1,4,0.5974,3,0.4156,1,4,0.2006
10,1,224,1,2,3,199, man275.jpg, cue_2.jpg,1,3.6229,1,1,1.1664,1,0.6072,1,4,0.3204
10,1,225,2,4,2,100, man136.jpg, cue_4.jpg,2,1.7708,1,3,1.1999,2,0.6075,1,4,0.6429
10,1,226,1,4,2,132, man177.jpg, cue_4.jpg,1,1.1336,1,4,1.9637,2,1.3115,1,2,0.9628
10,1,227,2,4,2,68, man099.jpg, cue_4.jpg,2,0.9914,1,4,0.5014,2,0.4154,1,4,0.3972
10,1,228,3,0,0,213, man297.jpg, ,3,2.6908,1,3,0.4974,7,0,7,7,0
10,1,229,3,0,0,32, man052.jpg, ,3,0.7697,1,4,0.3663,7,0,7,7,0
10,1,230,1,1,1,90, man124.jpg, cue_1.jpg,1,2.7268,1,2,1.1079,4,0.4792,1,3,0.7361
10,1,231,3,0,0,59, man086.jpg, ,3,0.7397,1,4,0.4707,7,0,7,7,0
10,1,232,3,0,0,203, man279.jpg, ,3,0.8087,1,4,0.2785,7,0,7,7,0
10,1,233,1,3,4,236, man329.jpg, cue_3.jpg,1,3.5838,1,3,1.2094,3,0.4795,1,4,0.3213
10,1,234,2,4,2,78, man110.jpg, cue_4.jpg,2,5.4813,1,2,0.7871,2,0.4798,1,4,0.3333
10,1,235,2,3,4,109, man150.jpg, cue_3.jpg,2,1.4125,1,4,0.473,3,0.5758,1,4,0.3303
10,1,236,1,3,4,205, man282.jpg, cue_3.jpg,1,3.0436,1,2,0.4354,3,1.0238,1,3,0.9011
10,1,237,3,0,0,139, man185.jpg, ,3,0.8366,1,4,0.337,7,0,7,7,0
10,1,238,2,3,4,42, man063.jpg, cue_3.jpg,2,1.6082,1,3,0.3403,3,0.4796,1,4,1.0247
10,1,239,3,0,0,202, man278.jpg, ,3,1.3861,1,4,1.3285,7,0,7,7,0
10,1,240,3,0,0,110, man152.jpg, ,3,0.6545,1,4,0.1784,7,0,7,7,0
11,2,1,1,3,4,16, man027.jpg, cue_3.jpg,1,5.2025,1,2,5.5922,3,3.8706,1,4,2.4106
11,2,2,1,1,1,64, man093.jpg, cue_1.jpg,1,2.7115,1,4,1.5924,2,1.1189,1,4,1.9256
11,2,3,3,0,0,231, man321.jpg, ,3,3.1118,1,4,1.0448,7,0,7,7,0
11,2,4,1,3,4,95, man130.jpg, cue_3.jpg,1,3.39,1,3,1.8393,3,1.2153,1,4,2.0306
11,2,5,1,4,2,161, man213.jpg, cue_4.jpg,2,6.3022,2,2,1.4923,3,2.2717,0,2,3.4311
11,2,6,2,2,3,208, man287.jpg, cue_2.jpg,2,2.748,1,3,1.7525,1,1.3436,1,4,0.868
11,2,7,3,0,0,133, man178.jpg, ,3,2.9185,1,4,1.211,7,0,7,7,0
11,2,8,2,3,4,3, man005.jpg, cue_3.jpg,1,2.4771,3,3,2.0069,3,1.1196,1,4,3.2343
11,2,9,2,3,4,224, man310.jpg, cue_3.jpg,1,3.776,3,2,2.1608,3,0.7683,1,4,0.8374
11,2,10,1,1,1,100, man136.jpg, cue_1.jpg,1,1.4798,1,4,0.9531,2,0.9919,1,4,1.9578
11,2,11,2,1,1,147, man196.jpg, cue_1.jpg,2,2.314,1,3,2.6166,2,1.0238,1,4,1.3749
11,2,12,2,4,2,80, man112.jpg, cue_4.jpg,2,2.0588,1,4,2.481,4,2.016,1,4,1.1583
11,2,13,3,0,0,10, man017.jpg, ,3,1.0993,1,4,0.8748,7,0,7,7,0
11,2,14,2,1,1,101, man137.jpg, cue_1.jpg,2,3.7253,1,3,1.4564,2,0.8317,1,4,1.1831
11,2,15,3,0,0,173, man236.jpg, ,3,3.9068,1,4,1.4525,7,0,7,7,0
11,2,16,2,1,1,9, man016.jpg, cue_1.jpg,2,4.8068,1,3,1.0347,2,0.7678,1,4,0.6075
11,2,17,3,0,0,207, man284.jpg, ,3,1.1638,1,4,1.6267,7,0,7,7,0
11,2,18,1,4,2,93, man128.jpg, cue_4.jpg,1,2.7304,1,4,2.2972,4,1.2482,1,4,1.1232
11,2,19,1,3,4,196, man268.jpg, cue_3.jpg,1,1.3221,1,4,0.7862,3,1.6957,1,4,2.665
11,2,20,2,4,2,42, man063.jpg, cue_4.jpg,1,1.9989,3,2,2.683,4,1.824,1,4,1.1973
11,2,21,3,0,0,148, man197.jpg, ,3,1.3762,1,4,0.726,7,0,7,7,0
11,2,22,3,0,0,203, man279.jpg, ,3,1.2264,1,4,0.6975,7,0,7,7,0
11,2,23,2,1,1,49, man072.jpg, cue_1.jpg,2,4.1295,1,3,0.9478,2,0.8639,1,4,1.1909
11,2,24,2,2,3,215, man299.jpg, cue_2.jpg,2,2.7306,1,4,0.8879,1,0.7353,1,4,1.25
11,2,25,2,4,2,103, man139.jpg, cue_4.jpg,2,2.4031,1,3,1.3259,4,0.7676,1,4,1.0595
